name,address,location,cuisines,rating,votes,average_cost_two,budget_tier,online_order,book_table,rest_type,is_pure_vegetarian,serves_alcohol,is_family_friendly,is_spicy_food,is_quick_service,reviews_sample
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",Banashankari,Cafe,4.1,402,500.0,medium,Yes,No,Cafe,False,False,False,True,True,"[('Rated 4.0', 'RATED\n  We ended up here on a Saturday afternoon after an hectic day\nThe food was too good\nThe ambience is okay\nBut usually itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s crowded with the college students around\nFood 4.5/5\nAmbience 4/5'), ('Rated 4.0', 'RATED\n  The food was amazing but they might need to work on the pizza and the crepes. The lighting is a little bit on the dimmer side, but the ambience is quite good because of the comic theme.'), ('Rated 5.0', 'RATED\n  Best waffles?? I am coming here from past 1 year! Good place to chill with friends! Good ambience"
Cafe Shuffle,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Banashankari,"Cafe, Italian, Continental",4.2,150,600.0,medium,Yes,Yes,Cafe,False,False,False,True,False,"[('Rated 1.0', ""RATED\n \n\nHorrible. Not even kidding. We ordered BBQ chicken wings and chef's special pizza. They gave undercooked chicken wings and the sauce on it was not even BBQ sauce. It was some local sauce with little spices in it. Pizza hardly had toppings on it. Staffs were so irresponsible. We had to tell them to give us the plates and cups after waiting for so long time . Also food delivery is so late. You order it now, you get it literally half an hour late.""), ('Rated 4.0', ""RATED\n  While this place is more common for hookah, most of the food menu is good as well. We tried the "
The Coffee Shack,"6th Block, 3rd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Chinese, Continental, Italian",4.2,164,500.0,medium,Yes,Yes,Cafe,False,True,False,True,True,"[('Rated 4.0', ""RATED\n  Food - 4/5\nAmbience - 3.5/5\nService - 3/5\n\nEasily the best cafÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ© in the neighborhood and possibly the only one not including the CCD's that you find at the end of every road.\nAppears to be a popular place for smokers to chill at, as the smoking area looks very quaint and comfortable.\nI would recommend their pancakes with chocolate syrup and ice cream which I've enjoyed everytime I've been there.""), ('Rated 4.0', ""RATED\n  The Coffee Shack is one of the lesser known, but cozy places in BSK 3rd Stage. It's located just a "
Caf-Eleven,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Banashankari,"Cafe, Continental",4.0,424,450.0,medium,No,No,Cafe,False,True,True,True,False,"[('Rated 2.0', ""RATED\n  This is a hookah cafe. It was not mentioned anywhere in the page that it was a hookah place. There's also no separate seating for non smokers. Horrible ambience. Ppl including waiters smoking hookah everywhere. I'm never gonna visit this place again. Also, I found an eyelash in the hot chocolate shake. The hot and cold chocolate are below average.""), ('Rated 4.0', ""RATED\n  Loved the ambience and the interior, very colourful and lively.\nThe seating is spacuous!\nThe food tasted really good\nThe chicken was eavenly cooked and was soft\nWe ordered lemon chicken dragon c"
Cafe Vivacity,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Banashankari,Cafe,3.8,90,650.0,medium,Yes,No,Cafe,False,False,False,False,False,"[('Rated 2.0', 'RATED\n  Not so good place as I was expecting from here. The ambience is quite ok but the food is not good at all and very slow service. There were only two people in the outlet to serve the customers, not satisfied upto the mark.'), ('Rated 4.0', ""RATED\n  I love this little house. Easily located in the Uma Maheshwari temple main road. It's a quaint, pleasant cafe where u can spend the evenings in the company of good books.\nwe were attending a meeting nearby and my partner recommended to have a cup of coffee here. While Looking at the cafe from outside itself got impressed wi"
Catch-up-ino,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,133,800.0,medium,Yes,No,Cafe,False,False,False,False,False,"[('Rated 1.0', ""RATED\n  This place is right opposite to the theatre and remember you'll have to climb up all the way up to 4th floor as there's no lift. You will be tired by the time you reach unless you are a fitness freak.\nWell for starters, asked the man to give me his best shot of hookah so we could come back and surprisingly he gave us the worst of it. Asked for a strong but got a tasteless flavoured was a mix of 3.\nAvoid masala french fries as they were bad, it looked like he just put all the Mirchi he had in the kitchen..\nI wish I would have taken the pic.\nA cool place to hangout w"
Kirthi's Biryani,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Banashankari,"Chinese, Cafe, Italian",3.8,144,700.0,medium,Yes,No,Cafe,False,False,False,False,False,"[('Rated 3.0', ""RATED\n  New place.. though it's a biryani place,I tried Chinese food. Best thing is the quantity, too good for the price. Food was kind of ok,not great. Definitely worth the price. A slight improvement with the taste will make the place a favourite.""), ('Rated 3.0', 'RATED\n  Had been here to enjoy ice cream but was not happy. They have tried something new but did not succeed. I suggest them to try something innovative as other Icecream ships do. HavenÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t tried their wood fire pizzas still. But friends have suggested that pizza is "
T3H Cafe,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Italian, American",3.9,93,300.0,low,No,No,Cafe,False,False,True,False,False,"[('Rated 4.0', ""RATED\n  Happy to see such a cafe nearby to our house. It's not in bsk actually. It's very much diagnolly opposite to nu hospital (kidney foundation) at Padmanabhanagar. This cafe is run by a couple and their family. They're really very polite and friendly. The prices are very reasonable and I recommend this place for people who like to spend time with their friends... I had coffee which is amazing. I had cheese Maggie and masala fries which were well presented and prepared as well. Content of the food is very sufficient and I request the management not reduce the quality and q"
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Chinese, Continental, Italian",3.1,13,400.0,medium,Yes,No,Cafe,False,False,False,False,False,"[('Rated 5.0', 'RATED\n  Friendly staffs , nice ambience colourful lights , hanging skeletons reasonable price , nice music gud for group of friends enjoyed a lot ??????'), ('Rated 4.0', 'RATED\n  Must experience..The service was impeccable.We were made to feel welcome and dishes very reasonably priced. Before we had even finished our plates we were planning the next time we would eat here.'), ('Rated 4.0', 'RATED\n  Hi... This is place to chill and experience different type of food. We recently visted and there was good treatment from staff n white sauce pasta , pizza , garlic bread stick, mo"
The Vintage Cafe,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",Banashankari,"Cafe, French, North Indian",3.0,62,400.0,medium,Yes,No,Cafe,False,False,False,True,False,"[('Rated 2.0', ""RATED\n  This is a tiny cafÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ© located just opposite Kathriguppe Water Tank. The interiors are quite nice, and they serve a mix of Indian and American snacks. The food isn't too good, neither are the beverages. I've tried the Strawberry Milk Shake, as well as Iced Tea and they have been nothing but flavored sugar syrups mixed with milk/water. My pick of beverages here is the Chikmagalur Filter Coffee, which is priced at ?15. This cafÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ© is not really vintage, but not terrible either.""), ('Rate"
Woodee Pizza,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7,180,500.0,medium,Yes,No,Cafe,False,False,False,False,False,"[('Rated 3.0', 'RATED\n  Decided to take a break from my usual Pizza Parlour... And also coz I love the Pineapple and JalapeÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ±os combination that many pizza parlours don\'t make. Having found one thst makes it I decided to give it a shot.\n\nTried their:\nHot Golden Cake Pizza (Pineapple, Corn and JalapeÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ±os) .. don\'t get fooled by the use of the term ""cake"". The pizza was very good ??? loads of cheese, thin crust and served hot. What I was disappointed with was the stringent use of Pineapple and corn. Pin"
Cafe Coffee Day,"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Banashankari,"Cafe, Fast Food",3.6,28,900.0,medium,No,No,Cafe,False,False,False,True,False,"[('Rated 4.0', 'RATED\n  This outlet is better than other outlets. But the service was slow. Ambience was good. The garlic bread was not that great. But the other dishes were yum.'), ('Rated 1.0', ""RATED\n  Quality of coffee has gone worse. So so so diluted coffee.. Though I ordered cold coffee, it was not at all cold. Even AC seemed to be off in this summer as we felt really hot through out our time. Instead of paying service taxes n getting horrible coffee n sweating, it's better to buy coke or drink water or visit better cafes.""), ('Rated 3.0', ""RATED\n  It's a nice place to hangout because"
My Tea House,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",Banashankari,"Italian, Fast Food, Cafe, European",3.6,62,600.0,medium,Yes,No,"Quick Bites, Cafe",False,False,True,False,True,"[('Rated 4.0', ""RATED\n  So, went here with friends for tea. The ambience is striking to say the least. The posters from tea gardens and a wide variety of tea stories in transparent bottles along with their description on the menu makes them all so tempting to try. They have a umpteen varieties of teas from basic chai and lemon tea to variants like saffron and cranberry. You name it, they have it. They also have some food to go with it. But since I went there post lunch couldn't try. A quiet place on the main road. Perfect to hang out after work with friends or even family. A good alternative "
Hide Out Cafe,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Banashankari,Cafe,3.7,31,300.0,low,No,No,Cafe,False,True,False,False,False,"[('Rated 4.0', 'RATED\n  The food was quite good, we ordered chicken and eggfried rice which tasted pretty good.\nThe service was as expected and the ambience was also good but it felt like as if we were in a pub but overall it was nice.'), ('Rated 4.0', ""RATED\n  Hookah place !! It's a dark silent place.. people who prefer dark places can go there !! The food is good and tasty.. fries are good and neither too costly !! Parking sometimes can get us a problem !!""), ('Rated 5.0', 'RATED\n  Hide out is best cafe and the staff members are very concerned best place to visit I love the place no othe"
CAFE NOVA,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Bakery",3.2,11,600.0,medium,No,No,Cafe,False,False,False,False,False,"[('Rated 1.0', ""RATED\n  No ventilation. Smokers sit in an enclosed seating area and smoke for hours. Inside sitting area is sealed like it's for AC, but only ceiling fans were turned on. Food delivery took 45 mins.""), ('Rated 5.0', ""RATED\n  I had pasta minght it was great time with cafe Nova Bangalore, ve Love it place, banana coffee was Nice try pastas and coffee in night time in next visit I'll not forget banana coffee time""), ('Rated 1.0', ""RATED\n  I wouldn't recommend this place to anybody. The air conditioning wasn't functioning properly. The staff were disinterested. And the food was "
Coffee Tindi,"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Banashankari,"Cafe, South Indian",3.8,75,200.0,low,Yes,No,"Cafe, Quick Bites",False,True,False,True,True,"[('Rated 5.0', 'RATED\n  please provide some extra sambal the quantity was very less'), ('Rated 3.0', 'RATED\n  Tasty idlis and Kesari bath, but, chatni and sambar were not upto the mark. Especially, sambar was really bad.\nPackaging also can be little better.\n.'), ('Rated 1.0', 'RATED\n  Neer dosa was good ? but Rava dosa was bad bad worst not had that kind of Rava dosa ...before ? ,,,'), ('Rated 4.0', 'RATED\n  set dosa was awesome ??'), ('Rated 1.0', 'RATED\n  fuck you man, who send tea in juice cups, it got spilled'), ('Rated 2.0', 'RATED\n  chutney and sambar was done in the same package"
Sea Green Cafe,"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Banashankari,"Cafe, Fast Food, Beverages",3.3,4,500.0,medium,No,No,Cafe,False,False,False,False,False,"[('Rated 5.0', 'RATED\n  Newly opened cafe near KIMS Medical College.\nSpacious and pleasant ambiance.\nMust try Chicken Pakoda and Crispy Fried Chicken.\nSheesha happy hours offers are good and affordable.')]"
Cuppa,"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Fast Food",3.3,23,550.0,medium,No,No,Cafe,False,False,False,True,True,"[('Rated 1.5', 'RATED\n  This place was good to hangout when it was new. Now it has nothing to it more than a bunch of regulars smoking their lungs out and some noisy college students playing pool.\nBeware of the roaches here.\nConclusion is, bad coffee, no ambiance, too noisy and mostly nothing to eat.'), ('Rated 3.5', ""RATED\n  Probably this is the only cafe which hardly has customers. I've visited this particular outlet about 3-4 times and everytime not more than 2-3 tables are ever occupied.\nHave tried their coffee, corn spinach sandwich and mango smoothie.\nKappa is not very expensive as"
Srinathji's Cafe,"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,148,550.0,medium,No,No,"Casual Dining, Cafe",False,False,True,False,False,"[('Rated 5.0', 'RATED\n  No words for the paneer...one of the few places where u get authentic paneer dishes... Hotel staff are really good and the food quality is very very good...\n\nParking : 2 wheeler and 4 wheeler available\nPayment mode : Cash and card\nNext time will try out pastries !!!')]"
Redberrys,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Basavanagudi,"Cafe, Italian",4.0,219,600.0,medium,Yes,No,Cafe,False,True,False,True,True,"[('Rated 4.0', ""RATED\n  Redberrys will provideswonderful ice cream flavours and some tasty delights to fill up your tummy with the italian touch friendly staff's quick response towards the customer food in redberrys were good and tasty we loved the pizzas that they serve nice place to hangout with friends one of the best place to jump in""), ('Rated 4.0', 'RATED\n  ItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s a place for having Gelato, not Ice creams!!! They have quite good variety of fresh gelatos. They are known for gelatos, although they have started serving Burgers, Pizza, Pasta now"
Foodiction,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Banashankari,"North Indian, Fast Food, Chinese, Burger",2.8,506,500.0,medium,Yes,No,Quick Bites,False,False,True,True,True,"[('Rated 1.0', ""RATED\n  Worst restaurant ever , Veg Manchurian worth ?130 doesn't even fill a tiny cup size. DO NOT order food fro. this place is a rip off with no regard for the money they charge.\nWorst restaurant even for zomato.""), ('Rated 1.0', ""RATED\n  I'm very sorry to say that you people lack in hygiene I can upload the photo of biryani rice which I ordered just now having a small cockroach in it.it was really disgusting and I'll surely not order anything or recommend anything from your restaurant but please maintain hygiene for the customer who comes to you .I won't say anything abo"
Sweet Truth,"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Banashankari,"Bakery, Desserts",3.9,35,500.0,medium,Yes,No,Delivery,False,False,False,False,False,"[('Rated 4.0', 'RATED\n  I had the opportunity to try the desserts and I was very intrigued! I tasted the desserts and my favourite has to be the cheesecake ! Would definitely recommend the desserts for the quality and taste.')]"
Ovenstory Pizza,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Banashankari,Pizza,3.9,172,750.0,medium,Yes,No,Delivery,False,False,False,False,False,"[('Rated 4.0', 'RATED\n  Stumbled upon this on Zomato while checking for home delivery options. Yummy pizza- ordered a corn veggie delight pizza. Crust was good, golden brown and had generous toppings. Certainly will order again?'), ('Rated 5.0', 'RATED\n  best pizza i have ever had best place and delecious food eveyone must vist this place best pizza ? there are many varieties in ovenstory the best part is that everything is fresh'), ('Rated 5.0', 'RATED\n  I recently ordered from Ovenstory . Ovenstory offers you delicious and lip smacking pizza and sides , they are quite different with crunc"
Faasos,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Banashankari,"North Indian, Biryani, Fast Food",4.2,415,500.0,medium,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 3.0', 'RATED\n  Not worth for the money we pay and ambience is not that good enough and service is tooo slow ? with they could improve with that ?????and try the rolls in here'), ('Rated 5.0', 'RATED\n  Amazing Navratri special thali.Ultimate treat after full fast day .Taste was just awesome.Must try when you are on fast or not on fast ?.Do visit or get it home delivered.'), ('Rated 4.0', 'RATED\n  Recently I tried their navratri thali which was a special menu for navratri and it was really scrumptious without lacking the taste.\nThali had kuttu aloo parantha, sweet n sour Petha sabzi"
Behrouz Biryani,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Banashankari,Biryani,3.9,230,650.0,medium,Yes,No,Delivery,False,False,True,False,False,"[('Rated 1.0', ""RATED\n  Had ordered 'Zaikedaar paneer biryani regular' for lunch.\n\nConsidering the history explained on the package box about the behrouz biryani legacy of 2000 years, i clearly felt it was not upto the mark as i have been a biryani lover for years now. Given the price i had to pay for this food (324 rupees for ONE biryani) they could have done much better than what i got. The biryani was dry. Medium flavoured. The rice was not frangrant.\n\nI was asked to choose one among - Mint chutney or gravy. I needed to pay more if i wanted both !.. Even a place that would give 80 rupe"
Fast And Fresh,"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Banashankari,"North Indian, Chinese, Fast Food",2.8,91,400.0,medium,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 1.0', 'RATED\n  Half baked rice in a special meal. Half baked roti only panneer curry was good. Serve the order with good quality or stop serving food in late nights or mid night'), ('Rated 1.0', 'RATED\n  Not the standard quality'), ('Rated 5.0', 'RATED\n  good'), ('Rated 1.0', 'RATED\n  Cold food'), ('Rated 1.0', ""RATED\n  pathetic service food is cold delivered 25 min late delivery person don't have change waiting for him to come nd return the money""), ('Rated 2.0', ""RATED\n  Biriyani is actually not good ND drink is not even cool it's so hot. it's not reasonable for wt I got revie"
Szechuan Dragon,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Banashankari,"Chinese, Thai, Momos",4.2,1647,600.0,medium,Yes,No,Casual Dining,False,False,True,True,True,"[('Rated 4.0', 'RATED\n  Located near BMS college of engineering.\nFood quantity is good for the price!\nYou must try the leefu chicken and chilli garlic noodles!The chicken lollipop is also good.\nSmall place but service and home delivery through zomato is good.'), ('Rated 4.0', ""RATED\n  We got home delivery from here on a Sunday night. It's good Chinese food and not very heavy on the pocket as well. The chicken soup was good, so was the chicken wings.\nLiked it. :)""), ('Rated 4.0', 'RATED\n  Its a good option for affordable indo Chinese cuisine in the neighborhood of Banashankari. Food seem"
Empire Restaurant,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Jayanagar,"North Indian, Mughlai, South Indian, Chinese",4.4,4884,750.0,medium,Yes,No,Casual Dining,False,True,True,True,True,"[('Rated 3.0', 'RATED\n  Grill and tandoori is an all timer goto, but the quality is suppressed in the recent past.\nShwarama is a must try.\nButter chicken gravy+kerela parota in the mains!'), ('Rated 3.0', ""RATED\n  As a vegetarian, this would be our last option. However, when the rest of Bangalore is closed, this place always takes care of hunger.\nAfter party, late night we ended up here for a quick meal. It's crowded as usual but you get a table for sure.\nWe ordered Egg dosa, Ghee rice, Dal and Arabian grape juice.\nEgg dosa was really confusing and I didn't get it. However Ghee rice and"
Maruthi Davangere Benne Dosa,"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Banashankari,South Indian,4.0,17,150.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 5.0', ""RATED\n  This restaurant serves the best benne dosas, period! I first tried out the benne masala dosa and was stumped by the inherent taste of the dosa that I didn't require any chutney along with it. Benne kaali is another must try out. It's extremely crispy and light.\n\nEven the tea of this restaurant had a very unique taste, that I forced myself to limit to a cup. :-)\n\nHighly recommend this restaurant."")]"
Chaatimes,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Basavanagudi,"Street Food, Fast Food",3.8,133,200.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 4.0', 'RATED\n  Ordered pack of dabeli for rs.49 today. The packing was neat. The size of dabeli was to the mark. Taste was just yum. Over all value for money :)'), ('Rated 4.0', 'RATED\n  Best place for eating chats, basket chaat and tokri chaat are the best here you can eat ,value for money and good ambience, well maintained.')]"
Havyaka Mess,"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Banashankari,South Indian,3.9,28,300.0,low,No,No,Mess,False,False,False,False,True,"[('Rated 4.0', 'RATED\n  Food is good.very homely.Rice sambhar rasam papad. Quick service. Very reasonable.Ambience is just ok.Cleanliness can be improved. Staff is ok. Road side parking.')]"
McDonald's,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Banashankari,"Burger, Fast Food",3.9,286,500.0,medium,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 4.0', 'RATED\n  Perfect place to have burger , coke and fries..\nThis place provides the best and delicious burger..\n\nGood place to hangout with friends\nGood ambience\nPleasant place'), ('Rated 4.0', ""RATED\n  It's a good spacious place, with good service. you also have the extra element of coffee and ice cream some sort of counter, which is not there in any other outlet!\nThe food is pretty much the same as any other mcd outlet."")]"
